City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Isangel,VU,-19.55,169.27,80.13,83,93,17.02
1,Petropavlovsk-kamchatskiy,RU,53.05,158.65,32.0,94,40,4.47
2,Mataura,NZ,-46.19,168.86,60.01,87,12,1.01
3,Hithadhoo,MV,-0.6,73.08,83.53,67,64,8.86
4,Mahebourg,MU,-20.41,57.7,78.01,94,75,6.2
5,Matara,LK,5.95,80.54,73.96,88,12,6.49
6,Nikolskoye,RU,59.7,30.79,30.2,74,75,11.18
7,Novo horizonte,BR,-21.47,-49.22,74.12,67,24,4.16
8,Susurluk,TR,39.91,28.16,44.6,87,75,16.11
9,Sao miguel do araguaia,BR,-13.28,-50.16,75.25,76,22,2.1
10,Tasiilaq,GL,65.61,-37.64,24.8,29,2,29.97
11,Nioki,CD,-2.72,17.68,73.2,86,100,0.4
12,Busselton,AU,-33.65,115.33,55.99,75,99,5.79
13,Georgetown,MY,5.41,100.34,82.4,94,20,3.98
14,Itaituba,BR,-4.28,-55.98,76.37,94,100,0.4
15,Nagato,JP,34.38,131.2,55.99,100,75,3.36
16,Hobart,AU,-42.88,147.33,66.0,71,20,6.93
17,Rikitea,PF,-23.12,-134.97,79.2,72,100,8.23
18,Zhicheng,CN,30.3,111.5,48.0,92,67,1.23
19,Meulaboh,ID,4.14,96.13,79.83,81,60,3.67
20,Geraldton,AU,-28.77,114.6,59.0,87,59,5.82
21,Lorengau,PG,-2.02,147.27,83.07,81,93,9.44
22,New norfolk,AU,-42.78,147.06,66.0,71,20,6.93
23,Xiaoweizhai,CN,26.19,107.51,51.8,66,32,3.76
24,Bluff,NZ,-46.6,168.33,60.01,87,17,1.01
25,Papara,BR,-3.98,-38.73,80.6,88,99,3.36
26,Bredasdorp,ZA,-34.53,20.04,64.4,59,27,5.82
27,Port alfred,ZA,-33.59,26.89,66.65,81,89,17.05
28,Rio bueno,CL,-40.32,-72.97,50.97,82,0,4.94
29,Najran,SA,17.49,44.13,71.6,35,5,4.38
30,Albany,US,42.6,-73.97,46.4,81,75,5.82
31,Broome,US,42.25,-75.83,48.0,87,90,4.72
32,Punta arenas,CL,-53.15,-70.92,51.8,71,40,8.05
33,Inirida,CO,3.87,-67.92,78.21,81,91,1.88
34,Beringovskiy,RU,63.05,179.32,32.23,93,88,18.84
35,San quintin,MX,30.48,-115.95,64.94,65,100,9.62
36,Hermanus,ZA,-34.42,19.23,61.0,88,34,11.95
37,Katete,UG,-0.78,29.75,64.15,58,61,3.71
38,Skibbereen,IE,51.55,-9.27,44.6,65,75,9.17
39,Lompoc,US,34.64,-120.46,82.0,53,60,17.22
40,Umm lajj,SA,25.02,37.27,76.1,39,7,5.84
41,Atuona,PF,-9.8,-139.03,82.31,79,5,13.6
42,Oussouye,SN,12.48,-16.55,82.4,53,35,9.17
43,Yellowknife,CA,62.46,-114.35,10.4,32,20,9.17
44,Harper,LR,4.38,-7.72,82.06,83,57,7.07
45,Tommot,RU,58.96,126.29,21.31,91,99,13.09
46,Clyde river,CA,70.47,-68.59,3.2,71,90,10.29
47,Vila,PT,42.03,-8.16,51.01,93,75,5.82
48,Qaanaaq,GL,77.48,-69.36,5.63,80,95,4.18
49,Ahipara,NZ,-35.17,173.17,68.2,63,100,3.27
50,Cape town,ZA,-33.93,18.42,63.0,67,20,18.34
51,Ushuaia,AR,-54.8,-68.3,48.2,76,40,12.75
52,Igarka,RU,67.47,86.58,3.07,94,92,9.51
53,Alofi,NU,-19.06,-169.92,84.2,89,75,6.93
54,Hofn,IS,64.25,-15.21,38.79,71,47,14.72
55,Zaoyang,CN,32.13,112.75,49.35,78,78,6.17
56,Tuktoyaktuk,CA,69.45,-133.04,10.4,60,20,19.46
57,Castro,BR,-24.79,-50.01,66.18,63,18,2.33
58,Praya,CV,14.92,-23.51,75.2,44,74,13.87
59,Harindanga,IN,22.04,88.32,78.8,74,20,4.7
60,Upernavik,GL,72.79,-56.15,-4.04,89,69,16.71
61,Airai,TL,-8.93,125.41,68.79,58,95,1.95
62,Malanje,AO,-9.54,16.34,66.15,68,10,3.02
63,Oranjemund,NA,-28.55,16.43,57.4,86,0,10.29
64,Salalah,OM,17.02,54.09,80.6,88,40,4.7
65,Pangobilian,PH,8.8,117.86,81.9,76,22,6.22
66,Victoria,HK,22.29,114.16,66.2,82,40,4.7
67,Ribeira grande,PT,38.52,-28.7,57.34,69,97,30.78
68,Vaini,TO,-21.2,-175.2,82.4,83,40,9.17
69,Colares,PT,38.8,-9.45,51.01,81,20,2.24
70,Ust-ilimsk,RU,58.0,102.66,34.27,84,100,14.27
71,Leningradskiy,RU,69.38,178.42,12.06,92,11,6.44
72,Vanavara,RU,60.34,102.28,19.53,93,70,8.72
73,Ventersburg,ZA,-28.09,27.14,56.28,56,86,0.78
74,Port hardy,CA,50.7,-127.42,48.2,61,75,13.87
75,Lengshuijiang,CN,27.69,111.43,53.96,73,0,1.48
76,Jamestown,US,42.1,-79.24,44.6,93,90,3.36
77,Manokwari,ID,-0.87,134.08,83.05,69,99,3.58
78,Esperance,AU,-33.87,121.9,53.6,93,40,3.36
79,Norman wells,CA,65.28,-126.83,14.0,51,5,20.8
80,Beloha,MG,-25.17,45.05,69.75,87,29,11.32
81,Pervomayskoye,RU,43.92,46.71,48.69,76,22,10.94
82,Karabuk,TR,41.2,32.63,47.01,69,99,2.46
83,Kapaa,US,22.08,-159.32,78.8,65,1,13.87
84,Bathsheba,BB,13.22,-59.52,78.8,65,20,12.75
85,Lata,PT,40.16,-8.33,43.0,87,20,6.93
86,Sao geraldo do araguaia,BR,-6.4,-48.55,76.24,89,100,3.13
87,Dikson,RU,73.51,80.55,-3.32,93,100,4.29
88,Lebu,CL,-37.62,-73.65,56.23,77,0,17.92
89,East london,ZA,-33.02,27.91,68.81,80,100,19.1
90,Aripuana,BR,-9.17,-60.63,75.13,90,100,1.28
91,Takoradi,GH,4.88,-1.76,80.6,88,82,7.96
92,Butaritari,KI,3.07,172.79,83.86,78,83,17.58
93,Moramanga,MG,-18.93,48.2,65.39,73,67,0.89
94,El alto,PE,-4.27,-81.21,73.33,75,53,6.64
95,Bambous virieux,MU,-20.34,57.76,78.01,94,75,6.91
96,Moa,CU,20.66,-74.94,76.78,76,17,6.42
97,Cidreira,BR,-30.18,-50.21,72.86,85,87,15.19
98,Lavrentiya,RU,65.58,-171.0,21.9,94,16,7.0
99,Trelew,AR,-43.25,-65.31,64.54,40,34,20.56
100,Itarema,BR,-2.92,-39.92,78.76,87,99,8.66
101,Dingle,PH,11.0,122.67,81.57,74,85,10.71
102,Bengkulu,ID,-3.8,102.27,78.01,80,100,3.18
103,Cozumel,MX,20.51,-86.95,86.0,62,40,9.17
104,Vradiyivka,UA,47.86,30.59,29.55,86,2,5.23
105,Pecos,US,31.42,-103.49,79.0,9,1,3.36
106,Coahuayana,MX,18.73,-103.68,84.2,51,5,11.41
107,Muli,MV,2.92,73.57,83.52,73,62,5.77
108,Cap malheureux,MU,-19.98,57.61,78.01,94,75,7.52
109,Byron bay,AU,-28.65,153.62,77.0,88,40,8.05
110,Cherskiy,RU,68.75,161.3,5.4,91,54,10.45
111,Zambezi,ZM,-13.54,23.1,66.94,70,94,4.12
112,Saldanha,ZA,-33.01,17.94,60.8,77,0,16.11
113,Avarua,CK,-21.21,-159.78,86.0,79,75,10.16
114,Pak phanang,TH,8.35,100.2,79.47,78,34,3.53
115,Deder,ET,9.32,41.45,58.69,47,32,1.97
116,Lulea,SE,65.58,22.15,33.8,69,32,13.87
117,Rio claro,BR,-22.41,-47.56,75.2,78,20,4.7
118,Sitka,US,57.05,-135.33,37.4,40,20,4.7
119,Barrow,US,71.29,-156.79,15.8,66,1,19.46
120,Kanniyakumari,IN,8.08,77.57,81.16,63,23,14.5
121,Kahului,US,20.89,-156.47,78.8,65,40,17.22
122,Hilo,US,19.73,-155.09,75.99,69,90,5.82
123,Mar del plata,AR,-38.0,-57.56,64.99,63,40,11.41
124,Puerto ayora,EC,-0.74,-90.35,82.4,74,20,8.05
125,Fairbanks,US,64.84,-147.72,28.0,29,1,11.41
126,Darab,IR,28.75,54.54,57.16,34,0,2.21
127,Port elizabeth,ZA,-33.92,25.57,62.6,77,22,19.46
128,Scarborough,GB,54.28,-0.4,44.01,75,93,4.7
129,Coracora,PE,-15.03,-73.78,52.23,32,100,5.03
130,Kavieng,PG,-2.57,150.8,83.62,76,98,10.31
131,Te anau,NZ,-45.42,167.72,59.27,51,14,1.45
132,Nanortalik,GL,60.14,-45.24,32.86,88,26,15.26
133,Kirovskiy,RU,45.09,133.51,41.9,59,72,7.99
134,Grindavik,IS,63.84,-22.43,35.6,77,90,19.46
135,Hovd,MN,48.01,91.64,18.68,60,0,3.83
136,Katima mulilo,NA,-17.5,24.27,68.0,100,82,1.12
137,Springville,US,40.17,-111.61,68.0,27,75,3.36
138,Denpasar,ID,-8.65,115.22,78.8,94,40,3.36
139,Mandalgovi,MN,45.76,106.27,25.5,44,0,8.79
140,Thompson,CA,55.74,-97.86,19.4,67,75,17.22
141,Saint-philippe,RE,-21.36,55.77,77.0,83,3,6.93
142,Bereda,ES,43.27,-7.54,50.0,81,40,4.7
143,Businga,CD,3.33,20.88,75.2,74,82,4.36
144,Ulladulla,AU,-35.35,150.47,69.01,100,75,11.63
145,Tiksi,RU,71.69,128.87,-1.71,88,100,4.03
146,Beyneu,KZ,45.32,55.2,48.72,89,93,13.49
147,Khatanga,RU,71.97,102.5,-7.47,91,54,8.34
148,Wattegama,LK,6.8,81.48,68.97,87,82,3.15
149,Saskylakh,RU,71.92,114.08,-8.7,88,92,13.35
150,Aksu,CN,41.12,80.26,44.08,37,74,4.14
151,Karakulino,RU,56.01,53.71,37.04,84,100,6.87
152,Mogadishu,SO,2.04,45.34,83.1,80,64,13.96
153,Lubango,AO,-14.92,13.49,60.57,51,32,0.85
154,Arraial do cabo,BR,-22.97,-42.03,77.0,88,75,2.24
155,Kaitangata,NZ,-46.28,169.85,60.01,81,14,1.99
156,Bonavista,CA,48.65,-53.11,34.0,84,100,1.99
157,Bethel,US,41.37,-73.41,46.99,56,90,4.7
158,Maku,IR,39.29,44.45,41.7,39,71,5.03
159,Qarqin,AF,37.42,66.04,58.87,61,100,8.1
160,Oistins,BB,13.07,-59.53,78.8,65,20,12.75
161,Palana,RU,59.12,159.97,26.17,94,98,10.38
162,Sirjan,IR,29.45,55.68,51.49,30,0,2.26
163,Deputatskiy,RU,69.3,139.9,-1.14,83,2,1.12
164,Hare bay,CA,48.85,-54.01,32.0,97,90,8.05
165,Castro verde,PT,37.7,-8.09,42.8,87,20,5.82
166,Conceicao das alagoas,BR,-19.91,-48.39,71.6,83,40,6.93
167,Ponta do sol,PT,32.67,-17.1,59.0,67,20,13.87
168,Morros,BR,-9.45,-46.3,76.12,62,90,4.76
169,Seoul,KR,37.57,126.98,51.8,39,1,4.7
170,Codrington,AU,-38.27,141.97,63.68,62,35,6.76
171,Tabuk,PH,17.42,121.44,79.99,55,93,4.34
172,Awjilah,LY,29.11,21.29,56.86,70,0,8.01
173,Svetlogorsk,BY,52.63,29.73,27.77,87,62,6.64
174,Tara,RU,56.89,74.37,25.63,95,99,7.23
175,Killam,CA,52.78,-111.85,12.0,60,100,3.0
176,Talnakh,RU,69.49,88.4,12.2,85,75,17.9
177,Aswan,EG,24.09,32.91,80.6,11,13,8.05
178,Vardo,NO,70.37,31.11,28.58,92,100,21.36
179,Arroyo,ES,41.61,-4.8,44.01,100,75,8.05
180,Weston,US,26.1,-80.4,87.8,54,1,13.87
181,Revda,RU,56.8,59.93,33.8,74,100,4.47
182,Cheney,US,47.49,-117.58,44.01,60,90,12.75
183,Camopi,GF,3.17,-52.32,74.62,94,96,2.71
184,Kashi,CN,39.45,75.98,50.0,29,40,2.24
185,Araouane,ML,18.9,-3.53,79.3,14,14,7.47
186,Goderich,CA,43.75,-81.72,45.0,86,95,10.85
187,Rayong,TH,12.83,101.43,84.2,74,20,11.41
188,Chokurdakh,RU,70.63,147.92,-2.18,91,94,4.14
189,Zhigansk,RU,66.77,123.37,11.19,95,100,9.15
190,Burnie,AU,-41.07,145.92,62.01,69,24,1.99
191,Necochea,AR,-38.55,-58.74,61.0,71,85,4.0
192,Saint-pierre,RE,-21.34,55.48,77.0,83,8,6.93
193,Belyy yar,RU,53.6,91.39,24.8,85,6,2.24
194,Labuhan,ID,-6.88,112.21,80.38,83,58,4.45
195,Torbay,CA,47.67,-52.73,39.0,97,90,4.7
196,Merritt island,US,28.54,-80.67,86.0,45,40,23.04
197,Port lincoln,AU,-34.73,135.87,61.9,73,95,7.14
198,Ishigaki,JP,24.34,124.16,73.4,100,75,11.41
199,Dodge city,US,37.75,-100.02,66.99,42,1,18.34
200,Lagos,NG,6.58,3.75,82.4,94,40,2.24
201,Comodoro rivadavia,AR,-45.87,-67.5,60.8,72,20,4.52
202,Dwarka,IN,22.24,68.97,75.7,87,0,13.73
203,Atar,MR,20.52,-13.05,81.72,26,100,4.47
204,Tautira,PF,-17.73,-149.15,86.0,70,3,9.17
205,Guerrero negro,MX,27.98,-114.06,73.62,32,100,12.64
206,Saint george,US,37.1,-113.58,72.0,26,1,5.82
207,Dunedin,NZ,-45.87,170.5,64.0,65,2,1.01
208,Saryg-sep,RU,51.5,95.6,15.12,85,2,1.12
209,Samana,DO,19.21,-69.34,80.6,74,40,9.17
210,Cabildo,AR,-38.48,-61.9,57.99,99,98,1.99
211,Gorontalo,ID,0.54,123.06,81.46,78,40,3.38
212,Lasa,IT,46.62,10.7,30.99,67,5,3.36
213,Qaqortoq,GL,60.72,-46.03,32.0,86,20,1.12
214,Cabedelo,BR,-6.98,-34.83,78.8,88,20,3.36
215,Sosnogorsk,RU,63.6,53.88,11.82,93,21,1.9
216,Port hedland,AU,-20.32,118.57,73.4,94,95,6.93
217,Jiazi,CN,22.88,116.07,68.83,76,85,6.71
218,Naryan-mar,RU,67.67,53.09,6.35,95,1,5.64
219,Tuy hoa,VN,13.08,109.3,78.76,78,19,2.51
220,Gravdal,NO,68.12,13.5,34.93,81,68,19.55
221,Luderitz,NA,-26.65,15.16,62.6,59,0,12.75
222,Bataipora,BR,-22.3,-53.27,75.54,66,7,4.09
223,Talara,PE,-4.58,-81.27,75.83,75,55,6.42
224,Amarpatan,IN,24.32,80.98,75.36,23,0,3.06
225,Kodiak,US,57.79,-152.41,37.4,34,1,6.93
226,Makat,KZ,47.65,53.35,48.67,75,62,4.97
227,Tual,ID,-5.67,132.75,85.15,70,99,3.49
228,Tooele,US,40.53,-112.3,68.0,29,90,16.11
229,Dunmore town,BS,25.5,-76.65,76.82,77,46,8.16
230,Maibong,IN,25.3,93.17,64.2,34,0,1.32
231,Sena madureira,BR,-9.07,-68.66,76.21,80,79,1.99
232,Ucluelet,CA,48.93,-125.55,46.99,86,90,12.75
233,Okhotsk,RU,59.38,143.3,22.3,95,82,7.0
234,Faanui,PF,-16.48,-151.75,83.01,75,10,11.18
235,Lom sak,TH,16.78,101.24,82.0,64,5,1.23
236,Narsaq,GL,60.92,-46.05,32.0,82,20,1.12
237,Freeport,US,40.66,-73.58,46.4,81,75,8.05
238,Syamzha,RU,60.02,41.06,13.96,93,0,3.31
239,Mwinilunga,ZM,-11.74,24.43,64.69,65,100,3.22
240,Howard springs,AU,-12.5,131.05,84.0,78,7,5.82
241,Kerema,PG,-7.96,145.78,76.28,90,100,6.22
242,Bayevo,RU,53.28,80.77,21.63,89,0,5.86
243,Pevek,RU,69.7,170.31,2.95,91,33,3.04
244,Kaihua,CN,23.37,104.28,60.1,55,67,5.64
245,Noyabrsk,RU,63.2,75.45,20.79,97,100,11.39
246,Malmyzh,RU,56.52,50.68,40.08,89,52,5.99
247,Kununurra,AU,-15.77,128.73,80.6,78,7,4.0
248,Kapit,MY,2.02,112.93,76.44,89,48,0.69
249,Nishihara,JP,26.18,127.76,75.2,94,90,13.87
250,La rioja,ES,42.25,-2.5,41.0,100,90,2.24
251,Namatanai,PG,-3.67,152.43,82.87,74,97,8.81
252,Ketchikan,US,55.34,-131.65,42.8,38,75,10.29
253,Mount pleasant,US,32.79,-79.86,64.0,100,90,12.37
254,Novaya lyada,RU,52.71,41.64,28.33,88,74,13.06
255,Pacific grove,US,36.62,-121.92,71.6,72,20,9.17
256,Bindura,ZW,-17.3,31.33,60.28,62,0,1.01
257,Mitchell,US,43.71,-98.03,60.8,51,1,21.92
258,Otane,NZ,-39.88,176.63,57.0,94,0,4.18
259,Disna,BY,55.57,28.2,30.18,89,96,10.47
260,Berlevag,NO,70.86,29.09,26.6,73,40,10.29
261,Maine-soroa,NE,13.21,12.02,88.32,26,91,5.61
262,Mayumba,GA,-3.43,10.66,80.29,85,15,6.78
263,Dicabisagan,PH,17.08,122.42,81.19,72,94,2.62
264,Nantucket,US,41.28,-70.1,37.4,64,20,16.11
